Discovery Mode Performance for Sakkaris
Report for: 7/1/24 - 7/31/24


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"10,199",370%,"9,026",204,142,"13,757",375%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
cigarette,"8,170","1,003%","10,436","1,045%",142,113,2%,spotify:track:13cUEmaifBUGcL208wBqPg
Heart of Mine,49,195%,56,95%,0,0,0%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
don't cry,"2,382",68%,"3,265",67%,64,33,3%,spotify:track:51MC9yIBfnArmXcARuGxaX
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Beginners,0,-100%,0,-100%,0,0,0%,spotify:track:4bcDLg3jGgHp2MhtrWGxvX
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
