Discovery Mode Performance for Sakkaris
Report for: 1/1/25 - 1/31/25


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"9,513",204%,"6,486",143,143,"16,579",298%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
Heart of Mine,"1,361","8,095%","1,654","5,646%",6,3,1%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
stuck on you,967,870%,"1,280",923%,12,12,2%,spotify:track:0V4yHPqLKd51cMou6fnwHy
cigarette,"3,582",384%,"4,656",411%,42,57,2%,spotify:track:13cUEmaifBUGcL208wBqPg
i remember u,"3,797",319%,"4,789",320%,45,52,2%,spotify:track:5qGB6oZu5ns6dQ0tHWFzoU
don't cry,"3,260",129%,"4,200",114%,47,43,2%,spotify:track:51MC9yIBfnArmXcARuGxaX
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
Dreams of Yesterday,0,-100%,0,-100%,0,0,0%,spotify:track:6OrvQonqVjpTAZ0Y6vzboW
