Discovery Mode Performance for Sakkaris
Report for: 10/1/24 - 10/31/24


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"10,084",223%,"6,882",152,115,"15,267",267%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
Heart of Mine,914,"5,404%","1,133","3,836%",8,10,2%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
cigarette,"5,088",587%,"6,563",620%,67,49,2%,spotify:track:13cUEmaifBUGcL208wBqPg
stuck on you,280,181%,357,185%,2,5,2%,spotify:track:0V4yHPqLKd51cMou6fnwHy
i remember u,"2,414",167%,"2,930",157%,33,22,2%,spotify:track:5qGB6oZu5ns6dQ0tHWFzoU
don't cry,"3,271",130%,"4,283",119%,51,36,2%,spotify:track:51MC9yIBfnArmXcARuGxaX
Dancing in My Dreams,1,-10%,1,-10%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
