Discovery Mode Performance for Sakkaris
Report for: 12/1/24 - 12/31/24


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"8,381",168%,"5,740",108,107,"13,445",223%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
Heart of Mine,"1,017","6,024%","1,271","4,315%",5,6,0%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
cigarette,"3,689",398%,"4,680",414%,38,35,1%,spotify:track:13cUEmaifBUGcL208wBqPg
stuck on you,387,288%,495,296%,3,4,1%,spotify:track:0V4yHPqLKd51cMou6fnwHy
i remember u,"2,343",159%,"2,908",155%,32,31,2%,spotify:track:5qGB6oZu5ns6dQ0tHWFzoU
don't cry,"3,149",122%,"4,091",109%,38,38,2%,spotify:track:51MC9yIBfnArmXcARuGxaX
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
