Discovery Mode Performance for Sakkaris
Report for: 9/1/24 - 9/30/24


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"12,138",313%,"9,082",201,181,"18,314",369%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
Heart of Mine,983,"6,016%","1,248","4,380%",10,5,1%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
cigarette,"8,102","1,030%","10,798","1,125%",115,103,2%,spotify:track:13cUEmaifBUGcL208wBqPg
don't cry,"2,793",103%,"3,980",110%,54,62,3%,spotify:track:51MC9yIBfnArmXcARuGxaX
i remember u,"1,809",106%,"2,288",107%,27,21,2%,spotify:track:5qGB6oZu5ns6dQ0tHWFzoU
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
