Discovery Mode Performance for Sakkaris
Report for: 2/1/25 - 2/26/25


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"5,846",142%,"3,900",85,65,"9,347",190%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
Heart of Mine,"1,152","8,860%","1,381","6,097%",4,6,1%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
stuck on you,623,708%,801,727%,13,6,2%,spotify:track:0V4yHPqLKd51cMou6fnwHy
cigarette,"1,676",192%,"2,113",200%,19,17,1%,spotify:track:13cUEmaifBUGcL208wBqPg
i remember u,"1,566",123%,"1,957",122%,17,18,2%,spotify:track:5qGB6oZu5ns6dQ0tHWFzoU
don't cry,"2,483",126%,"3,095",104%,35,24,2%,spotify:track:51MC9yIBfnArmXcARuGxaX
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
