date,listeners,streams,followers
2023-08-28,571,741,801
2023-08-29,556,726,801
2023-08-30,520,701,802
2023-08-31,497,613,802
2023-09-01,516,657,803
2023-09-02,481,695,803
2023-09-03,498,687,802
2023-09-04,536,730,804
2023-09-05,595,818,805
2023-09-06,598,871,807
2023-09-07,614,843,809
2023-09-08,502,747,814
2023-09-09,496,752,814
2023-09-10,510,636,816
2023-09-11,706,991,817
2023-09-12,656,1196,817
2023-09-13,558,834,817
2023-09-14,587,786,817
2023-09-15,597,750,819
2023-09-16,538,674,819
2023-09-17,524,654,822
2023-09-18,521,742,827
2023-09-19,550,688,826
2023-09-20,580,994,826
2023-09-21,551,714,829
2023-09-22,527,664,829
2023-09-23,485,648,830
2023-09-24,464,601,832
2023-09-25,520,698,836
2023-09-26,568,784,838
2023-09-27,557,701,839
2023-09-28,524,695,840
2023-09-29,540,687,841
2023-09-30,487,650,843
2023-10-01,484,631,843
2023-10-02,1278,1737,844
2023-10-03,1131,1638,847
2023-10-04,935,1265,848
2023-10-05,892,1238,849
2023-10-06,826,1149,850
2023-10-07,823,1081,851
2023-10-08,789,988,848
2023-10-09,849,1145,850
2023-10-10,824,1076,849
2023-10-11,760,951,849
2023-10-12,653,992,849
2023-10-13,646,1182,849
2023-10-14,572,743,851
2023-10-15,592,728,853
2023-10-16,801,1185,854
2023-10-17,751,1197,854
2023-10-18,777,1107,855
2023-10-19,715,1089,856
2023-10-20,673,886,859
2023-10-21,675,944,861
2023-10-22,677,1635,861
2023-10-23,822,1886,862
2023-10-24,796,1474,864
2023-10-25,613,842,864
2023-10-26,612,832,867
2023-10-27,582,793,868
2023-10-28,531,745,869
2023-10-29,466,592,869
2023-10-30,593,750,871
2023-10-31,602,792,872
2023-11-01,632,859,873
2023-11-02,621,791,873
2023-11-03,573,699,873
2023-11-04,557,723,873
2023-11-05,544,669,874
2023-11-06,629,776,875
2023-11-07,578,802,877
2023-11-08,603,746,878
2023-11-09,611,752,878
2023-11-10,554,748,878
2023-11-11,494,652,878
2023-11-12,490,638,879
2023-11-13,536,704,879
2023-11-14,528,670,880
2023-11-15,584,780,880
2023-11-16,561,807,880
2023-11-17,516,689,882
2023-11-18,486,631,883
2023-11-19,496,598,883
2023-11-20,616,780,884
2023-11-21,578,765,886
2023-11-22,557,708,887
2023-11-23,543,673,887
2023-11-24,589,730,886
2023-11-25,649,765,888
2023-11-26,794,903,889
2023-11-27,1152,1379,889
2023-11-28,895,1149,890
2023-11-29,792,1007,892
2023-11-30,707,883,892
2023-12-01,611,830,892
2023-12-02,562,694,892
2023-12-03,533,647,894
2023-12-04,727,901,894
2023-12-05,672,841,893
2023-12-06,659,895,894
2023-12-07,676,895,896
2023-12-08,714,856,896
2023-12-09,525,642,899
2023-12-10,549,647,901
2023-12-11,754,929,901
2023-12-12,726,864,901
2023-12-13,679,837,901
2023-12-14,656,954,902
2023-12-15,617,848,902
2023-12-16,558,694,903
2023-12-17,893,990,922
2023-12-18,622,807,922
2023-12-19,602,795,923
2023-12-20,542,681,925
2023-12-21,520,646,927
2023-12-22,506,635,928
2023-12-23,1083,1252,927
2023-12-24,702,803,928
2023-12-25,416,495,927
2023-12-26,503,638,928
2023-12-27,735,890,928
2023-12-28,762,902,929
2023-12-29,606,755,930
2023-12-30,574,682,930
2023-12-31,573,729,932
2024-01-01,529,669,933
2024-01-02,737,955,933
2024-01-03,981,1166,934
2024-01-04,793,979,934
2024-01-05,659,811,935
2024-01-06,628,795,936
2024-01-07,626,754,936
2024-01-08,689,940,938
2024-01-09,661,842,939
2024-01-10,622,865,938
2024-01-11,624,774,939
2024-01-12,530,679,940
2024-01-13,438,565,942
2024-01-14,489,621,943
2024-01-15,454,554,945
2024-01-16,1146,1356,1036
2024-01-17,495,677,1036
2024-01-18,633,794,1037
2024-01-19,649,825,1038
2024-01-20,775,977,1037
2024-01-21,569,784,1037
2024-01-22,789,1053,1039
2024-01-23,929,1221,1042
2024-01-24,697,953,1044
2024-01-25,602,797,1044
2024-01-26,505,647,1045
2024-01-27,518,719,1047
2024-01-28,449,604,1048
2024-01-29,541,711,1051
2024-01-30,545,760,1052
2024-01-31,707,919,1054
2024-02-01,659,848,1056
2024-02-02,672,825,1057
2024-02-03,495,613,1057
2024-02-04,468,618,1058
2024-02-05,634,799,1060
2024-02-06,913,1101,1062
2024-02-07,1000,1268,1063
2024-02-08,759,956,1064
2024-02-09,663,917,1065
2024-02-10,548,698,1066
2024-02-11,552,702,1068
2024-02-12,673,850,1068
2024-02-13,510,638,1068
2024-02-14,583,749,1068
2024-02-15,686,847,1070
2024-02-16,679,843,1070
2024-02-17,682,833,1072
2024-02-18,581,791,1075
2024-02-19,833,1069,1075
2024-02-20,799,1058,1076
2024-02-21,791,1052,1078
2024-02-22,728,1224,1080
2024-02-23,751,939,1081
2024-02-24,647,812,1085
2024-02-25,618,800,1088
2024-02-26,726,909,1091
2024-02-27,683,909,1094
2024-02-28,673,936,1094
2024-02-29,623,1027,1095
2024-03-01,566,784,1097
2024-03-02,613,784,1099
2024-03-03,454,576,1099
2024-03-04,518,698,1099
2024-03-05,521,743,1101
2024-03-06,486,642,1102
2024-03-07,525,654,1103
2024-03-08,488,639,1105
2024-03-09,471,544,1105
2024-03-10,546,629,1105
2024-03-11,503,644,1104
2024-03-12,573,710,1104
2024-03-13,583,742,1105
2024-03-14,557,890,1106
2024-03-15,517,664,1105
2024-03-16,438,550,1106
2024-03-17,415,557,1106
2024-03-18,609,833,1109
2024-03-19,581,790,1109
2024-03-20,613,784,1110
2024-03-21,534,705,1111
2024-03-22,529,734,1113
2024-03-23,458,626,1114
2024-03-24,481,616,1114
2024-03-25,510,745,1040
2024-03-26,445,623,1042
2024-03-27,443,563,1044
2024-03-28,461,575,1047
2024-03-29,371,506,1047
2024-03-30,385,519,1044
2024-03-31,384,468,1045
2024-04-01,614,842,1046
2024-04-02,640,800,1048
2024-04-03,613,812,1048
2024-04-04,635,839,1048
2024-04-05,612,763,1050
2024-04-06,527,678,1047
2024-04-07,567,680,1048
2024-04-08,688,876,1048
2024-04-09,670,788,1051
2024-04-10,646,803,1053
2024-04-11,609,741,1055
2024-04-12,606,727,1056
2024-04-13,667,783,1059
2024-04-14,750,880,1061
2024-04-15,654,863,1059
2024-04-16,634,789,1060
2024-04-17,698,865,1061
2024-04-18,667,845,1061
2024-04-19,806,1000,1064
2024-04-20,656,834,1064
2024-04-21,550,674,1065
2024-04-22,636,769,1066
2024-04-23,565,673,1068
2024-04-24,581,729,1068
2024-04-25,552,651,1069
2024-04-26,511,702,1069
2024-04-27,464,584,1070
2024-04-28,529,651,1070
2024-04-29,612,888,1070
2024-04-30,538,769,1072
2024-05-01,507,642,1072
2024-05-02,570,705,1073
2024-05-03,499,643,1073
2024-05-04,458,563,1074
2024-05-05,441,528,1076
2024-05-06,699,906,1077
2024-05-07,646,812,1078
2024-05-08,647,855,1078
2024-05-09,606,865,1078
2024-05-10,563,767,1080
2024-05-11,501,644,1080
2024-05-12,466,602,1080
2024-05-13,565,710,1080
2024-05-14,597,724,1079
2024-05-15,651,925,1092
2024-05-16,798,1322,1102
2024-05-17,1138,2151,1113
2024-05-18,883,1114,1115
2024-05-19,774,919,1116
2024-05-20,914,1177,1121
2024-05-21,689,980,1125
2024-05-22,727,933,1127
2024-05-23,722,935,1135
2024-05-24,613,774,1136
2024-05-25,656,838,1139
2024-05-26,533,686,1139
2024-05-27,611,780,1141
2024-05-28,678,896,1143
2024-05-29,723,950,1149
2024-05-30,733,1086,1152
2024-05-31,658,807,1154
2024-06-01,888,1169,1158
2024-06-02,867,1061,1161
2024-06-03,905,1230,1167
2024-06-04,854,1106,1172
2024-06-05,786,1018,1176
2024-06-06,888,1119,1182
2024-06-07,751,1015,1185
2024-06-08,702,926,1191
2024-06-09,644,963,1195
2024-06-10,686,1000,1205
2024-06-11,758,1118,1210
2024-06-12,665,907,1213
2024-06-13,707,1016,1218
2024-06-14,1103,1620,1230
2024-06-15,787,1112,1231
2024-06-16,737,1029,1238
2024-06-17,1155,1739,1248
2024-06-18,1067,1403,1254
2024-06-19,925,1180,1259
2024-06-20,992,1582,1272
2024-06-21,686,1048,1275
2024-06-22,746,1041,1270
2024-06-23,884,1142,1274
2024-06-24,1069,1455,1283
2024-06-25,921,1507,1287
2024-06-26,960,1367,1293
2024-06-27,863,1239,1298
2024-06-28,905,1412,1302
2024-06-29,756,1001,1305
2024-06-30,700,893,1310
2024-07-01,874,1117,1319
2024-07-02,1000,1303,1324
2024-07-03,930,1267,1326
2024-07-04,844,1473,1329
2024-07-05,798,1344,1334
2024-07-06,863,1110,1339
2024-07-07,788,985,1348
2024-07-08,966,1772,1355
2024-07-09,995,1895,1360
2024-07-10,958,1307,1366
2024-07-11,862,1705,1370
2024-07-12,1152,2074,1375
2024-07-13,983,1417,1377
2024-07-14,959,1358,1380
2024-07-15,1319,2255,1390
2024-07-16,1384,2070,1400
2024-07-17,1084,1841,1405
2024-07-18,1165,1764,1412
2024-07-19,1221,2306,1422
2024-07-20,988,1852,1428
2024-07-21,1081,1901,1436
2024-07-22,2595,4143,1444
2024-07-23,1848,3028,1450
2024-07-24,1694,2897,1459
2024-07-25,1532,2666,1475
2024-07-26,1461,2577,1480
2024-07-27,1309,1821,1495
2024-07-28,1220,1758,1507
2024-07-29,1538,2541,1515
2024-07-30,1556,2162,1522
2024-07-31,1432,2496,1529
2024-08-01,1365,2350,1536
2024-08-02,1398,2431,1540
2024-08-03,1125,1586,1554
2024-08-04,1161,1859,1564
2024-08-05,1506,2300,1578
2024-08-06,1300,2160,1588
2024-08-07,1677,2367,1596
2024-08-08,1721,2345,1603
2024-08-09,1487,2431,1606
2024-08-10,1385,2340,1616
2024-08-11,1108,1939,1620
2024-08-12,1847,3170,1626
2024-08-13,1866,3049,1641
2024-08-14,1977,3052,1649
2024-08-15,1858,2917,1659
2024-08-16,1933,2821,1669
2024-08-17,1474,2126,1680
2024-08-18,1181,1552,1686
2024-08-19,1458,2085,1696
2024-08-20,1423,2040,1704
2024-08-21,1433,2033,1707
2024-08-22,1521,2258,1707
2024-08-23,1306,2057,1715
2024-08-24,1289,2153,1719
2024-08-25,1187,2176,1725
2024-08-26,1624,2471,1730
2024-08-27,1625,2605,1736
2024-08-28,1418,2168,1737
2024-08-29,1396,2020,1739
2024-08-30,1310,2059,1741
2024-08-31,1032,1523,1744
2024-09-01,930,1453,1747
2024-09-02,1100,1720,1753
2024-09-03,1492,2084,1758
2024-09-04,1762,2546,1769
2024-09-05,1983,2859,1775
2024-09-06,1543,2390,1782
2024-09-07,1238,1873,1784
2024-09-08,1254,1841,1789
2024-09-09,1479,2060,1794
2024-09-10,1608,2510,1798
2024-09-11,1415,2155,1805
2024-09-12,1181,1658,1808
2024-09-13,1259,1883,1811
2024-09-14,953,1491,1816
2024-09-15,896,1408,1817
2024-09-16,1332,1971,1821
2024-09-17,1366,2117,1823
2024-09-18,1353,2319,1825
2024-09-19,1311,1908,1829
2024-09-20,1174,1553,1833
2024-09-21,886,1434,1835
2024-09-22,918,1388,1836
2024-09-23,1629,2411,1839
2024-09-24,1518,2228,1841
2024-09-25,1530,2280,1849
2024-09-26,1406,2197,1852
2024-09-27,1463,2243,1855
2024-09-28,1405,2109,1860
2024-09-29,1043,1635,1862
2024-09-30,1373,2008,1864
2024-10-01,1267,1972,1868
2024-10-02,967,1718,1869
2024-10-03,989,1425,1874
2024-10-04,857,1298,1876
2024-10-05,690,1156,1875
2024-10-06,685,1220,1879
2024-10-07,924,1550,1883
2024-10-08,940,1467,1883
2024-10-09,1132,1562,1886
2024-10-10,1184,1676,1888
2024-10-11,1082,1484,1892
2024-10-12,1035,1499,1894
2024-10-13,819,1356,1897
2024-10-14,1561,2125,1899
2024-10-15,1477,2220,1904
2024-10-16,1335,1880,1909
2024-10-17,1387,2147,1911
2024-10-18,1343,1807,1913
2024-10-19,1322,1829,1914
2024-10-20,1177,1672,1915
2024-10-21,1219,1673,1917
2024-10-22,1477,2019,1919
2024-10-23,1389,1913,1920
2024-10-24,1181,1661,1921
2024-10-25,1052,1584,1921
2024-10-26,838,1130,1923
2024-10-27,896,1344,1924
2024-10-28,1059,1634,1929
2024-10-29,1092,1555,1930
2024-10-30,1154,1681,1933
2024-10-31,1166,1656,1935
2024-11-01,1023,1599,1938
2024-11-02,812,1227,1940
2024-11-03,747,1134,1941
2024-11-04,1083,1557,1945
2024-11-05,1180,1619,1948
2024-11-06,1105,1763,1950
2024-11-07,1229,1745,1952
2024-11-08,958,1188,1953
2024-11-09,845,1137,1957
2024-11-10,760,1125,1956
2024-11-11,940,1448,1958
2024-11-12,1025,1585,1959
2024-11-13,1020,1702,1959
2024-11-14,923,1355,1960
2024-11-15,972,1278,1964
2024-11-16,971,1331,1967
2024-11-17,859,1314,1968
2024-11-18,942,1424,1969
2024-11-19,1047,1540,1971
2024-11-20,1033,1610,1976
2024-11-21,958,1550,1978
2024-11-22,1132,1851,1982
2024-11-23,958,1908,1986
2024-11-24,785,1385,1986
2024-11-25,1035,1739,1988
2024-11-26,1124,1762,1993
2024-11-27,876,1360,1993
2024-11-28,797,1327,1995
2024-11-29,685,1205,2002
2024-11-30,910,1309,2003
2024-12-01,727,1091,2008
2024-12-02,912,1701,2012
2024-12-03,1208,2053,2016
2024-12-04,957,1696,2020
2024-12-05,1099,1905,2027
2024-12-06,1084,1921,2029
2024-12-07,899,1361,2033
2024-12-08,674,939,2035
2024-12-09,881,1334,2041
2024-12-10,1098,1507,2045
2024-12-11,1191,2011,2052
2024-12-12,1267,1891,2059
2024-12-13,1038,1447,2064
2024-12-14,791,1280,2071
2024-12-15,778,1198,2076
2024-12-16,962,1751,2082
2024-12-17,1030,1951,2076
2024-12-18,931,1517,2081
2024-12-19,1050,1650,2085
2024-12-20,933,1388,2089
2024-12-21,848,1105,2094
2024-12-22,738,949,2095
2024-12-23,893,1336,2095
2024-12-24,953,1455,2099
2024-12-25,623,1044,2103
2024-12-26,764,1187,2108
2024-12-27,939,1473,2115
2024-12-28,752,1094,2127
2024-12-29,689,1118,2128
2024-12-30,963,1863,2135
2024-12-31,958,1428,2137
2025-01-01,681,992,2140
2025-01-02,880,1432,2146
2025-01-03,1039,1593,2150
2025-01-04,817,1274,2152
2025-01-05,693,1089,2154
2025-01-06,818,1206,2163
2025-01-07,1051,1758,2166
2025-01-08,992,1758,2170
2025-01-09,1016,1886,2174
2025-01-10,1062,1873,2175
2025-01-11,749,1124,2181
2025-01-12,772,1292,2187
2025-01-13,949,1380,2193
2025-01-14,934,1597,2198
2025-01-15,974,1646,2204
2025-01-16,1085,1833,2209
2025-01-17,1138,1830,2215
2025-01-18,1049,1667,2216
2025-01-19,792,1414,2225
2025-01-20,1010,1640,2234
2025-01-21,1417,2200,2240
2025-01-22,1263,2092,2242
2025-01-23,1256,2012,2245
2025-01-24,1139,1850,2249
2025-01-25,920,1508,2250
2025-01-26,889,1505,2253
2025-01-27,965,1836,2262
2025-01-28,992,1636,2270
2025-01-29,844,1329,2276
2025-01-30,797,1358,2281
2025-01-31,941,1486,2283
2025-02-01,815,1392,2287
2025-02-02,730,1190,2292
2025-02-03,747,1518,2296
2025-02-04,1083,1922,2299
2025-02-05,842,1333,2300
2025-02-06,960,1701,2302
2025-02-07,893,1614,2304
2025-02-08,619,1410,2311
2025-02-09,714,1417,2312
2025-02-10,798,1430,2314
2025-02-11,708,1272,2318
2025-02-12,727,1199,2319
2025-02-13,1088,1791,2323
2025-02-14,878,1393,2328
2025-02-15,759,1393,2331
2025-02-16,655,1152,2337
2025-02-17,720,1299,2339
2025-02-18,807,1401,2341
2025-02-19,774,1335,2345
2025-02-20,765,1297,2349
2025-02-21,847,1290,2355
2025-02-22,895,1682,2356
2025-02-23,665,1105,2360
