Discovery Mode Performance for Sakkaris
Report for: 11/1/24 - 11/30/24


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"8,216",172%,"5,509",144,107,"13,618",238%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
Heart of Mine,"1,293","7,945%","1,695","5,985%",9,10,1%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
cigarette,"3,098",332%,"4,234",380%,42,31,2%,spotify:track:13cUEmaifBUGcL208wBqPg
stuck on you,411,326%,540,346%,8,4,2%,spotify:track:0V4yHPqLKd51cMou6fnwHy
i remember u,"2,271",159%,"2,888",162%,34,23,2%,spotify:track:5qGB6oZu5ns6dQ0tHWFzoU
don't cry,"3,121",127%,"4,261",125%,57,44,2%,spotify:track:51MC9yIBfnArmXcARuGxaX
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
