Discovery Mode Performance for Sakkaris
Report for: 6/1/24 - 6/30/24


Campaign Level
Artist Name,Listeners,Listener Lift,New Listeners,Saves,Playlist Adds,Streams,Stream Lift
Sakkaris,"5,787",317%,"5,335",124,72,"7,727",302%


Track Level
Track Name,Listeners,Listener Lift,Streams,Stream Lift,Saves,Playlist Adds,Intent Rate,Track URI(s)
don't cry,"5,749",318%,"7,641",303%,123,70,2%,spotify:track:51MC9yIBfnArmXcARuGxaX
Heart of Mine,57,255%,86,209%,1,2,4%,spotify:track:6wfWSuaISkN1k6Z6TQF0jN
Amelia,0,-100%,0,-100%,0,0,0%,spotify:track:5mLl3o7k7MLwFGv7ubfEm4
Beginners,0,-100%,0,-100%,0,0,0%,spotify:track:4bcDLg3jGgHp2MhtrWGxvX
Cold,0,-100%,0,-100%,0,0,0%,spotify:track:2A4LgeCW0LwKutmxpduyie
Dancing in My Dreams,0,-100%,0,-100%,0,0,0%,spotify:track:5fE4OLcGVGk4QM2wsIa1yA
